
VCD info: dumpfile mux4to1.vcd opened for output.
Time=10000 | in=0000 | sel=00 | out=0
Time=20000 | in=0000 | sel=01 | out=0
Time=30000 | in=0000 | sel=10 | out=0
Time=40000 | in=0000 | sel=11 | out=0
Time=50000 | in=0001 | sel=00 | out=1
Time=60000 | in=0001 | sel=01 | out=0
Time=70000 | in=0001 | sel=10 | out=0
Time=80000 | in=0001 | sel=11 | out=0
Time=90000 | in=0010 | sel=00 | out=0
Time=100000 | in=0010 | sel=01 | out=1
Time=110000 | in=0010 | sel=10 | out=0
Time=120000 | in=0010 | sel=11 | out=0
Time=130000 | in=0011 | sel=00 | out=1
Time=140000 | in=0011 | sel=01 | out=1
Time=150000 | in=0011 | sel=10 | out=0
Time=160000 | in=0011 | sel=11 | out=0
Time=170000 | in=0100 | sel=00 | out=0
Time=180000 | in=0100 | sel=01 | out=0
Time=190000 | in=0100 | sel=10 | out=1
Time=200000 | in=0100 | sel=11 | out=0
Time=210000 | in=0101 | sel=00 | out=1
Time=220000 | in=0101 | sel=01 | out=0
Time=230000 | in=0101 | sel=10 | out=1
Time=240000 | in=0101 | sel=11 | out=0
Time=250000 | in=0110 | sel=00 | out=0
Time=260000 | in=0110 | sel=01 | out=1
Time=270000 | in=0110 | sel=10 | out=1
Time=280000 | in=0110 | sel=11 | out=0
Time=290000 | in=0111 | sel=00 | out=1
Time=300000 | in=0111 | sel=01 | out=1
Time=310000 | in=0111 | sel=10 | out=1
Time=320000 | in=0111 | sel=11 | out=0
Time=330000 | in=1000 | sel=00 | out=0
Time=340000 | in=1000 | sel=01 | out=0
Time=350000 | in=1000 | sel=10 | out=0
Time=360000 | in=1000 | sel=11 | out=1
Time=370000 | in=1001 | sel=00 | out=1
Time=380000 | in=1001 | sel=01 | out=0
Time=390000 | in=1001 | sel=10 | out=0
Time=400000 | in=1001 | sel=11 | out=1
Time=410000 | in=1010 | sel=00 | out=0
Time=420000 | in=1010 | sel=01 | out=1
Time=430000 | in=1010 | sel=10 | out=0
Time=440000 | in=1010 | sel=11 | out=1
Time=450000 | in=1011 | sel=00 | out=1
Time=460000 | in=1011 | sel=01 | out=1
Time=470000 | in=1011 | sel=10 | out=0
Time=480000 | in=1011 | sel=11 | out=1
Time=490000 | in=1100 | sel=00 | out=0
Time=500000 | in=1100 | sel=01 | out=0
Time=510000 | in=1100 | sel=10 | out=1
Time=520000 | in=1100 | sel=11 | out=1
Time=530000 | in=1101 | sel=00 | out=1
Time=540000 | in=1101 | sel=01 | out=0
Time=550000 | in=1101 | sel=10 | out=1
Time=560000 | in=1101 | sel=11 | out=1
Time=570000 | in=1110 | sel=00 | out=0
Time=580000 | in=1110 | sel=01 | out=1
Time=590000 | in=1110 | sel=10 | out=1
Time=600000 | in=1110 | sel=11 | out=1
Time=610000 | in=1111 | sel=00 | out=1
Time=620000 | in=1111 | sel=01 | out=1
Time=630000 | in=1111 | sel=10 | out=1
Time=640000 | in=1111 | sel=11 | out=1
tb_mux4to1.v:34: $finish called at 640000 (1ps)
